employee_id,exit_date,exit_type,stated_exit_reason,notice_period_served,regrettable_flag,performance_band_at_exit,salary_at_exit,manager_id_at_exit,pathway
E00206,2025-06-19,voluntary,Career advancement,True,False,Below Expectations,126000.0,E12811,push
E00207,2024-10-31,voluntary,Career advancement,True,False,Meets Expectations,123200.0,E09414,push
E00210,2025-05-02,voluntary,Career advancement,True,False,Below Expectations,129800.0,E01498,push
E00211,2025-02-28,voluntary,Career advancement,True,False,Meets Expectations,117600.0,E06218,push
E00231,2024-10-26,involuntary,Involuntary - performance,True,False,High Performer,131900.0,E07606,push
E00239,2025-05-13,voluntary,Career advancement,True,False,High Performer,129400.0,E03544,pull
E00273,2024-03-25,voluntary,Career advancement,False,True,High Performer,258500.0,E08830,pull
E00276,2024-05-31,voluntary,Career advancement,True,False,Meets Expectations,135900.0,E00087,push
E00284,2025-09-05,voluntary,Career advancement,True,False,Meets Expectations,175500.0,E13928,push
E00294,2025-01-24,involuntary,Involuntary - performance,True,False,Below Expectations,184500.0,E12110,push
E00309,2024-03-29,voluntary,Better opportunity,True,False,Meets Expectations,190900.0,E09447,push
E00325,2024-02-29,voluntary,Career advancement,True,False,Meets Expectations,179900.0,E10710,push
E00395,2024-05-17,involuntary,Involuntary - performance,False,False,Unsatisfactory,123600.0,E08101,push
E00402,2025-11-11,voluntary,Career advancement,True,True,Outstanding,134500.0,E03948,pull
E00407,2025-06-20,involuntary,Involuntary - performance,True,False,Below Expectations,121000.0,E01225,push
E00459,2024-03-20,voluntary,Career advancement,False,False,Meets Expectations,126300.0,E02577,push
E00465,2024-10-08,voluntary,Career advancement,True,False,High Performer,129500.0,E02562,pull
E00483,2025-05-07,voluntary,Career advancement,False,False,Meets Expectations,129300.0,E01657,pull
E00490,2024-04-30,voluntary,Better opportunity,True,False,Outstanding,175400.0,E11855,pull
E00537,2024-08-30,involuntary,Involuntary - performance,True,False,Below Expectations,175400.0,E04420,push
E00538,2024-02-05,voluntary,Career advancement,True,False,Meets Expectations,125700.0,E00271,push
E00551,2024-06-21,voluntary,Career advancement,True,False,Meets Expectations,182200.0,E06513,pull
E00558,2024-08-28,voluntary,Career advancement,True,False,Outstanding,173200.0,E12796,push
E00565,2025-01-19,voluntary,Career advancement,True,False,High Performer,121900.0,E11739,pull
E00573,2024-05-20,voluntary,Career advancement,False,False,Meets Expectations,118500.0,E00312,push
E00578,2024-06-08,voluntary,Career advancement,True,False,Meets Expectations,210200.0,E11584,push
E00588,2024-03-22,voluntary,Better opportunity,True,False,High Performer,121200.0,E00333,pull
E00591,2024-05-31,voluntary,Study/career change,True,False,Meets Expectations,129100.0,E01107,push
E00603,2024-02-02,voluntary,Compensation,True,False,Meets Expectations,130600.0,E00193,push
E00616,2025-09-30,voluntary,Career advancement,True,False,High Performer,136700.0,E01135,push
E00639,2025-04-28,involuntary,Involuntary - performance,True,False,Below Expectations,122200.0,E08590,push
E00648,2024-03-27,voluntary,Compensation,True,False,Unsatisfactory,170300.0,E02887,push
E00654,2025-07-31,involuntary,Involuntary - performance,True,False,Below Expectations,117600.0,E09166,push
E00660,2024-08-10,voluntary,Better opportunity,True,False,High Performer,126600.0,E08688,pull
E00661,2025-07-29,involuntary,Involuntary - performance,True,False,Meets Expectations,115400.0,E00003,push
E00669,2025-03-15,voluntary,Personal reasons,True,False,Meets Expectations,121700.0,E01123,push
E00675,2024-06-17,voluntary,Career advancement,True,False,Below Expectations,131100.0,E13940,push
E00681,2025-01-31,voluntary,Work-life balance,True,False,High Performer,132500.0,E00832,push
E00687,2024-10-11,voluntary,Career advancement,True,False,Meets Expectations,187400.0,E10847,push
E00696,2024-08-23,involuntary,Involuntary - restructure,False,False,Meets Expectations,171400.0,E06609,push
E00707,2024-04-29,involuntary,Involuntary - performance,True,False,Below Expectations,121100.0,E00223,push
E00713,2025-01-19,voluntary,Career advancement,True,False,Meets Expectations,128900.0,E00446,push
E00734,2024-09-06,voluntary,Career advancement,True,False,Meets Expectations,121500.0,E05067,pull
E00735,2024-07-09,involuntary,Involuntary - performance,True,False,Below Expectations,127300.0,E00704,push
E00744,2024-03-01,voluntary,Career advancement,True,False,High Performer,221300.0,E00645,push
E00785,2024-06-10,voluntary,Career advancement,True,False,Below Expectations,116800.0,E00332,push
E00791,2025-08-15,involuntary,Involuntary - restructure,False,False,Meets Expectations,186700.0,E10094,push
E00794,2024-03-22,involuntary,Involuntary - performance,True,False,Below Expectations,130200.0,E00552,push
E00795,2024-12-31,voluntary,Career advancement,True,False,High Performer,119400.0,E00586,push
E00796,2024-05-23,voluntary,Role uncertainty / unclear future,False,False,Meets Expectations,173000.0,E11308,push
E00806,2025-03-31,involuntary,Involuntary - performance,False,False,Below Expectations,123800.0,E13889,push
E00807,2024-12-31,voluntary,Better opportunity,True,False,High Performer,173200.0,E07539,pull
E00810,2025-10-31,voluntary,Career advancement,True,False,Below Expectations,183200.0,E10628,push
E00811,2024-02-29,voluntary,Career advancement,True,False,Unsatisfactory,187800.0,E07084,push
E00815,2024-09-30,voluntary,Career advancement,True,False,Unsatisfactory,188600.0,E10053,push
E00819,2024-03-15,voluntary,Work-life balance,True,False,Meets Expectations,205800.0,E10847,push
E00829,2025-03-29,voluntary,Career advancement,False,True,Outstanding,175400.0,E09938,pull
E00834,2024-12-20,voluntary,Role uncertainty / unclear future,True,False,Meets Expectations,180900.0,E06226,push
E00835,2024-05-26,involuntary,Involuntary - conduct,False,False,Meets Expectations,183600.0,E06695,push
E00836,2024-02-15,voluntary,Better opportunity,True,False,Below Expectations,126400.0,E00774,push
E00849,2024-12-13,voluntary,Career advancement,False,False,High Performer,127400.0,E13072,pull
E00861,2024-03-26,voluntary,Better opportunity,False,True,Outstanding,120600.0,E01502,pull
E00868,2024-11-06,voluntary,Better opportunity,True,False,High Performer,121300.0,E05282,pull
E00874,2024-11-29,voluntary,Career advancement,True,True,Outstanding,139300.0,E03511,pull
E00875,2025-10-31,voluntary,Better opportunity,False,False,Meets Expectations,135300.0,E01657,pull
E00891,2024-03-09,voluntary,Career advancement,False,True,Outstanding,141100.0,E14118,pull
E00902,2024-08-28,voluntary,Work-life balance,True,False,Meets Expectations,132900.0,E05341,push
E00915,2025-09-22,involuntary,Involuntary - performance,True,False,Unsatisfactory,125700.0,E04908,push
E00923,2025-04-14,voluntary,Career advancement,True,False,High Performer,140200.0,E07425,pull
E00936,2024-01-31,voluntary,Compensation,True,False,High Performer,130600.0,E08454,push
E00938,2025-09-18,involuntary,Involuntary - performance,False,False,Unsatisfactory,177900.0,E09860,push
E00953,2025-07-16,involuntary,Involuntary - performance,False,False,Unsatisfactory,128100.0,E09918,push
E00973,2025-03-31,voluntary,Career advancement,True,False,Unsatisfactory,186900.0,E12162,push
E00977,2024-07-12,voluntary,Career advancement,True,False,Below Expectations,128800.0,E02456,push
E01024,2024-02-12,voluntary,Career advancement,True,False,High Performer,174900.0,E11918,pull
E01025,2025-01-27,involuntary,Involuntary - performance,False,False,Below Expectations,121000.0,E00487,push
E01033,2024-10-11,voluntary,Career advancement,True,False,Unsatisfactory,126400.0,E14091,push
E01059,2025-01-24,voluntary,Career advancement,True,False,Unsatisfactory,171100.0,E07800,push
E01067,2024-06-14,involuntary,Involuntary - performance,False,False,Unsatisfactory,119500.0,E05775,push
E01078,2025-11-19,voluntary,Career advancement,False,False,Meets Expectations,131200.0,E00983,push
E01140,2025-11-28,voluntary,Better opportunity,True,True,Outstanding,120000.0,E01600,pull
E01152,2024-12-31,voluntary,Better opportunity,True,False,Below Expectations,138100.0,E00730,pull
E01154,2025-01-31,involuntary,Involuntary - performance,True,False,Unsatisfactory,130200.0,E12811,push
E01156,2025-07-29,voluntary,Career advancement,True,False,Meets Expectations,120800.0,E02099,push
E01169,2025-03-28,involuntary,Involuntary - performance,False,False,Below Expectations,141800.0,E10173,push
E01170,2025-03-25,voluntary,Better opportunity,False,False,Below Expectations,188300.0,E09934,push
E01175,2025-07-25,voluntary,Work-life balance,True,False,Meets Expectations,117600.0,E01260,push
E01183,2024-08-23,voluntary,Career advancement,True,False,Meets Expectations,116800.0,E13072,push
E01187,2025-06-27,voluntary,Career advancement,True,False,Meets Expectations,122700.0,E00733,push
E01193,2024-12-29,involuntary,Involuntary - performance,True,False,Unsatisfactory,123200.0,E06460,push
E01221,2024-04-26,voluntary,Work-life balance,True,False,Below Expectations,135300.0,E14238,push
E01222,2024-02-02,voluntary,Compensation,True,False,Meets Expectations,129600.0,E05639,push
E01227,2024-03-29,voluntary,Career advancement,True,False,Meets Expectations,136000.0,E10164,pull
E01231,2024-05-31,involuntary,Involuntary - performance,False,False,Below Expectations,182700.0,E10156,push
E01244,2024-06-21,voluntary,Compensation,True,False,High Performer,125400.0,E02008,push
E01249,2024-08-19,voluntary,Better opportunity,True,True,Outstanding,187100.0,E05144,pull
E01293,2025-04-11,voluntary,Career advancement,False,False,Meets Expectations,119500.0,E03672,push
E01302,2024-08-29,voluntary,Career advancement,False,True,Outstanding,131300.0,E01000,pull
E01304,2024-08-30,voluntary,Career advancement,True,False,Unsatisfactory,115000.0,E02425,push
E01309,2025-04-30,involuntary,Involuntary - conduct,True,False,Meets Expectations,132300.0,E11603,push
E01322,2024-03-15,voluntary,Personal reasons,True,False,Meets Expectations,131200.0,E01374,push
E01349,2025-09-30,voluntary,Career advancement,True,False,Meets Expectations,129300.0,E14346,push
E01365,2025-03-25,voluntary,Better opportunity,True,True,Below Expectations,187600.0,E06153,pull
E01382,2024-12-11,voluntary,Career advancement,True,False,Meets Expectations,135600.0,E12308,pull
E01488,2025-04-25,involuntary,Involuntary - performance,True,False,Below Expectations,126400.0,E12413,push
E01489,2024-07-27,voluntary,Personal reasons,True,False,High Performer,118300.0,E04338,push
E01504,2025-01-24,voluntary,Career advancement,True,False,Below Expectations,122500.0,E12471,push
E01508,2025-11-28,involuntary,Involuntary - performance,False,False,Below Expectations,118300.0,E08267,push
E01511,2024-12-31,voluntary,Better opportunity,False,False,Meets Expectations,115400.0,E01209,push
E01522,2025-10-17,voluntary,Career advancement,True,True,Outstanding,142300.0,E07892,push
E01524,2025-09-30,voluntary,Compensation,True,False,Meets Expectations,123100.0,E07580,push
E01531,2025-03-06,voluntary,Career advancement,True,False,Meets Expectations,124300.0,E03672,pull
E01535,2024-04-09,voluntary,Better opportunity,False,True,Outstanding,128200.0,E01474,pull
E01555,2025-08-18,voluntary,Relocation,True,False,Below Expectations,125600.0,E06406,push
E01563,2025-10-31,voluntary,Career advancement,True,False,Meets Expectations,138800.0,E02635,push
E01565,2025-09-05,voluntary,Better opportunity,True,False,High Performer,183200.0,E07560,pull
E01569,2024-08-27,involuntary,Involuntary - performance,True,False,Unsatisfactory,117400.0,E07509,push
E01596,2025-04-04,voluntary,Career advancement,True,False,Below Expectations,130300.0,E06688,push
E01605,2024-10-04,involuntary,Involuntary - performance,False,False,Below Expectations,172600.0,E12162,push
E01612,2024-03-15,involuntary,Involuntary - performance,False,False,Below Expectations,117400.0,E10171,push
E01634,2025-01-09,involuntary,Involuntary - performance,False,False,Below Expectations,122500.0,E09166,push
E01652,2024-12-25,voluntary,Compensation,True,False,Meets Expectations,128800.0,E12779,push
E01662,2024-07-15,voluntary,Career advancement,True,False,Meets Expectations,141800.0,E09750,push
E01672,2025-09-26,voluntary,Compensation,True,False,High Performer,133900.0,E08787,push
E01684,2025-08-20,voluntary,Career advancement,True,False,Meets Expectations,118500.0,E13088,push
E01686,2025-07-27,voluntary,Career advancement,True,True,High Performer,173700.0,E02048,pull
E01689,2025-03-16,voluntary,Better opportunity,True,False,High Performer,118900.0,E01170,pull
E01719,2025-02-07,voluntary,Career advancement,True,False,High Performer,130700.0,E10272,pull
E01730,2025-10-13,voluntary,Career advancement,True,True,High Performer,182100.0,E02897,pull
E01739,2025-03-03,voluntary,Personal reasons,False,False,Below Expectations,129700.0,E01853,push
E01742,2024-08-30,voluntary,Better opportunity,False,False,Outstanding,191700.0,E04294,pull
E01746,2024-08-26,voluntary,Career advancement,True,False,Meets Expectations,123300.0,E07243,push
E01765,2024-02-14,voluntary,Compensation,True,False,High Performer,250800.0,E09879,push
E01779,2024-07-12,voluntary,Career advancement,True,False,High Performer,232300.0,E08605,push
E01788,2025-06-24,voluntary,Better opportunity,True,True,Outstanding,172700.0,E04361,pull
E01809,2025-08-03,voluntary,Better opportunity,True,False,High Performer,124200.0,E10865,pull
E01818,2025-09-19,voluntary,Career advancement,False,False,Below Expectations,140100.0,E02790,push
E01824,2024-04-19,voluntary,Work-life balance,False,False,Below Expectations,123400.0,E11836,push
E01825,2024-07-31,voluntary,Better opportunity,False,False,High Performer,139600.0,E02532,pull
E01859,2025-03-01,voluntary,Career advancement,True,False,Meets Expectations,139600.0,E13002,push
E01861,2024-05-24,involuntary,Involuntary - performance,True,False,Meets Expectations,176700.0,E13158,push
E01873,2024-08-30,voluntary,Better opportunity,True,False,Meets Expectations,185700.0,E13366,pull
E01880,2024-05-29,involuntary,Involuntary - performance,True,False,Below Expectations,118100.0,E06137,push
E01907,2024-07-28,voluntary,Career advancement,False,False,Meets Expectations,128200.0,E01898,push
E01910,2024-07-17,voluntary,Better opportunity,True,True,Meets Expectations,179400.0,E11918,pull
E01912,2024-09-09,voluntary,Compensation,True,False,Meets Expectations,121500.0,E03558,push
E01914,2024-03-27,voluntary,Career advancement,True,False,Below Expectations,186700.0,E02013,pull
E01916,2025-01-31,voluntary,Career advancement,True,False,Meets Expectations,116000.0,E10836,push
E01923,2024-06-14,voluntary,Relocation,True,False,Meets Expectations,134700.0,E14422,push
E01936,2024-03-22,voluntary,Career advancement,True,False,High Performer,125400.0,E01673,pull
E01938,2024-07-31,voluntary,Career advancement,True,False,High Performer,128300.0,E01953,pull
E01943,2025-01-26,involuntary,Involuntary - performance,True,False,Meets Expectations,135400.0,E10861,push
E01944,2025-06-29,involuntary,Involuntary - performance,False,False,Unsatisfactory,135300.0,E03222,push
E01945,2025-06-05,involuntary,Involuntary - performance,False,False,Below Expectations,584100.0,E05512,push
E01958,2025-09-03,voluntary,Career advancement,True,False,Meets Expectations,136600.0,E08907,push
E01969,2025-08-01,voluntary,Better opportunity,True,False,Meets Expectations,120200.0,E01843,pull
E01970,2025-08-08,voluntary,Personal reasons,True,False,Meets Expectations,129100.0,E08966,push
E01973,2024-09-08,voluntary,Career advancement,True,False,Below Expectations,124100.0,E00786,push
E01993,2024-10-25,voluntary,Better opportunity,True,False,Meets Expectations,228600.0,E13366,push
E01997,2025-07-31,voluntary,Career advancement,True,True,Below Expectations,129300.0,E07676,pull
E01999,2024-12-16,voluntary,Career advancement,True,False,Meets Expectations,117100.0,E14091,push
E02000,2024-12-17,voluntary,Better opportunity,True,False,Outstanding,123000.0,E01366,pull
E02008,2024-07-29,voluntary,Study/career change,True,False,Meets Expectations,222600.0,E02909,push
E02025,2024-02-07,voluntary,Compensation,True,False,High Performer,118700.0,E02132,push
E02050,2025-07-31,involuntary,Involuntary - performance,True,False,Below Expectations,123900.0,E00094,push
E02051,2025-10-24,voluntary,Career advancement,True,True,Outstanding,122100.0,E14091,push
E02054,2024-02-06,voluntary,Career advancement,True,False,Meets Expectations,117900.0,E13940,push
E02071,2025-11-28,voluntary,Better opportunity,True,True,High Performer,127200.0,E01644,pull
E02088,2025-05-15,voluntary,Career advancement,False,False,High Performer,127900.0,E00791,pull
E02092,2024-03-08,voluntary,Career advancement,True,False,Meets Expectations,128900.0,E10464,pull
E02096,2024-03-29,voluntary,Career advancement,True,False,Meets Expectations,123700.0,E04052,pull
E02103,2024-05-24,involuntary,Involuntary - performance,False,False,Meets Expectations,138000.0,E04415,push
E02105,2024-04-30,voluntary,Career advancement,True,False,Below Expectations,116900.0,E07901,push
E02117,2025-05-01,involuntary,Involuntary - performance,False,False,Unsatisfactory,126300.0,E12245,push
E02145,2024-12-28,voluntary,Career advancement,True,False,Below Expectations,134300.0,E10317,pull
E02153,2025-06-05,voluntary,Compensation,False,False,Below Expectations,127400.0,E11512,push
E02159,2025-03-14,voluntary,Career advancement,True,False,Meets Expectations,157700.0,E03773,push
E02177,2024-06-21,voluntary,Personal reasons,True,False,Below Expectations,133500.0,E01095,push
E02183,2025-10-10,voluntary,Better opportunity,False,True,Meets Expectations,124300.0,E01281,pull
E02205,2025-01-31,voluntary,Career advancement,False,False,Meets Expectations,143400.0,E04635,push
E02226,2025-05-09,involuntary,Involuntary - performance,False,False,Unsatisfactory,120900.0,E03243,push
E02229,2025-08-04,involuntary,Involuntary - performance,False,False,Below Expectations,123900.0,E06557,push
E02234,2025-09-05,voluntary,Career advancement,True,False,Meets Expectations,130000.0,E13517,push
E02249,2024-11-29,voluntary,Career advancement,True,False,Meets Expectations,129300.0,E02001,push
E02253,2024-08-02,voluntary,Career advancement,True,False,High Performer,139300.0,E02155,push
E02256,2025-01-31,voluntary,Better opportunity,True,False,High Performer,124200.0,E01942,pull
E02270,2024-02-28,voluntary,Compensation,True,False,Meets Expectations,142900.0,E00094,push
E02286,2024-08-23,voluntary,Better opportunity,False,False,High Performer,128200.0,E01170,pull
E02293,2025-10-07,involuntary,Involuntary - restructure,True,False,Meets Expectations,135700.0,E10173,push
E02296,2025-05-30,voluntary,Career advancement,True,False,High Performer,135900.0,E01095,push
E02305,2025-02-28,voluntary,Work-life balance,True,False,Meets Expectations,135600.0,E02316,push
E02311,2025-10-31,voluntary,Better opportunity,False,False,High Performer,127600.0,E04053,pull
E02320,2025-10-16,voluntary,Career advancement,True,False,Meets Expectations,177600.0,E14493,push
E02324,2024-12-31,involuntary,Involuntary - restructure,False,False,Meets Expectations,145300.0,E06044,push
E02336,2024-12-27,involuntary,Involuntary - restructure,True,False,High Performer,119600.0,E08733,push
E02343,2025-03-12,voluntary,Career advancement,False,False,Meets Expectations,135500.0,E01243,push
E02347,2025-11-08,involuntary,Involuntary - performance,False,False,Below Expectations,128100.0,E00187,push
E02362,2024-09-05,voluntary,Career advancement,True,False,Meets Expectations,303300.0,E05945,push
E02388,2024-04-30,voluntary,Role uncertainty / unclear future,True,True,Outstanding,138000.0,E01230,push
E02393,2024-03-10,voluntary,Career advancement,True,False,Below Expectations,132700.0,E01909,push
E02410,2024-02-02,voluntary,Better opportunity,True,False,Outstanding,121400.0,E01069,pull
E02414,2024-02-05,voluntary,Career advancement,True,False,Meets Expectations,124700.0,E13314,push
E02422,2024-10-31,voluntary,Career advancement,False,False,High Performer,132000.0,E00490,pull
E02430,2024-11-15,involuntary,Involuntary - performance,True,False,Below Expectations,128300.0,E00490,push
E02464,2024-07-12,voluntary,Career advancement,True,False,Below Expectations,127500.0,E09001,push
E02477,2025-10-07,voluntary,Work-life balance,True,False,Below Expectations,115000.0,E09352,push
E02478,2024-07-12,voluntary,Career advancement,True,False,Meets Expectations,127400.0,E01069,push
E02487,2024-10-31,involuntary,Involuntary - performance,True,False,Below Expectations,134300.0,E13709,push
E02504,2025-02-12,voluntary,Career advancement,True,False,Below Expectations,181300.0,E14236,push
E02535,2024-08-16,involuntary,Involuntary - performance,True,False,Below Expectations,174900.0,E12716,push
E02536,2024-10-27,voluntary,Relocation,True,False,Meets Expectations,119600.0,E00598,push
E02544,2024-04-12,voluntary,Role uncertainty / unclear future,True,False,Meets Expectations,174200.0,E07967,push
E02545,2024-03-09,involuntary,Involuntary - restructure,False,False,Meets Expectations,120500.0,E09068,push
E02548,2024-08-03,voluntary,Career advancement,True,False,High Performer,134600.0,E02467,pull
E02556,2025-08-29,voluntary,Role uncertainty / unclear future,True,False,High Performer,120900.0,E04695,push
E02562,2025-02-28,voluntary,Career advancement,True,False,High Performer,190700.0,E00607,push
E02565,2025-10-29,voluntary,Study/career change,True,False,Below Expectations,170100.0,E11603,push
E02568,2024-02-23,involuntary,Involuntary - performance,False,False,Below Expectations,120500.0,E11596,push
E02572,2025-07-02,voluntary,Career advancement,True,False,Meets Expectations,199100.0,E04166,push
E02578,2025-10-03,voluntary,Career advancement,True,False,High Performer,121900.0,E07314,push
E02581,2025-10-24,voluntary,Better opportunity,True,False,High Performer,116500.0,E06460,push
E02597,2024-07-31,involuntary,Involuntary - performance,True,False,Unsatisfactory,115500.0,E06379,push
E02605,2024-08-14,voluntary,Career advancement,True,False,Meets Expectations,120100.0,E06981,push
E02617,2025-06-15,voluntary,Career advancement,True,False,High Performer,129100.0,E10458,pull
E02624,2024-08-23,involuntary,Involuntary - conduct,False,False,Meets Expectations,135800.0,E00462,push
E02631,2024-05-16,voluntary,Better opportunity,True,True,Outstanding,134400.0,E12716,pull
E02638,2025-05-29,involuntary,Involuntary - performance,True,False,Below Expectations,128300.0,E00248,push
E02658,2025-09-30,voluntary,Work-life balance,True,False,High Performer,135800.0,E01556,push
E02663,2025-03-28,voluntary,Better opportunity,True,True,Unsatisfactory,127100.0,E11587,pull
E02664,2024-08-09,voluntary,Career advancement,False,False,Below Expectations,138900.0,E07302,push
E02679,2024-04-09,voluntary,Compensation,True,False,Below Expectations,117200.0,E02613,push
E02684,2024-12-10,voluntary,Career advancement,False,False,Below Expectations,135200.0,E01366,push
E02688,2024-08-09,voluntary,Career advancement,True,True,Outstanding,133000.0,E03615,push
E02692,2024-10-11,involuntary,Involuntary - performance,False,False,Meets Expectations,273000.0,E08605,push
E02714,2025-02-28,involuntary,Involuntary - performance,True,False,Meets Expectations,232600.0,E05727,push
E02716,2025-10-03,voluntary,Personal reasons,True,False,Meets Expectations,123200.0,E09482,push
E02720,2024-05-31,voluntary,Career advancement,True,False,Meets Expectations,125700.0,E06375,push
E02738,2025-05-02,voluntary,Better opportunity,True,False,Meets Expectations,122900.0,E12803,pull
E02770,2024-12-21,involuntary,Involuntary - restructure,True,False,High Performer,126800.0,E00308,push
E02805,2024-03-11,voluntary,Career advancement,True,True,Outstanding,115600.0,E05666,pull
E02810,2025-01-24,voluntary,Career advancement,True,False,High Performer,140600.0,E01120,push
E02850,2024-07-08,voluntary,Career advancement,False,True,Outstanding,324500.0,E11957,pull
E02861,2024-10-08,involuntary,Involuntary - performance,True,False,Unsatisfactory,307100.0,E00209,push
E02863,2024-04-19,voluntary,Personal reasons,True,False,Meets Expectations,126000.0,E13889,push
E02883,2024-08-30,voluntary,Personal reasons,True,False,Meets Expectations,132300.0,E12488,push
E02891,2025-01-07,voluntary,Role uncertainty / unclear future,True,False,Meets Expectations,130800.0,E06406,push
E02892,2024-09-06,voluntary,Better opportunity,True,False,Below Expectations,134900.0,E06471,push
E02893,2025-11-14,voluntary,Career advancement,True,False,Meets Expectations,119400.0,E00655,push
E02912,2024-03-29,voluntary,Better opportunity,True,False,High Performer,129900.0,E01219,pull
E02918,2025-07-05,voluntary,Role uncertainty / unclear future,False,False,Meets Expectations,122400.0,E11140,push
E02924,2025-08-29,voluntary,Career advancement,True,False,Meets Expectations,116200.0,E06688,push
E02944,2024-10-25,voluntary,Career advancement,True,False,High Performer,121800.0,E01372,push
E02949,2025-08-01,voluntary,Career advancement,True,False,Meets Expectations,128600.0,E00829,push
E02977,2025-09-10,involuntary,Involuntary - restructure,False,False,Meets Expectations,119500.0,E04695,push
E02980,2024-02-25,voluntary,Career advancement,True,True,Unsatisfactory,235700.0,E02692,pull
E02981,2025-09-05,voluntary,Better opportunity,True,False,Meets Expectations,135400.0,E03529,pull
E02984,2024-06-27,voluntary,Career advancement,True,False,High Performer,134700.0,E01764,pull
E02986,2025-08-07,voluntary,Career advancement,True,False,Below Expectations,133400.0,E00583,push
E02998,2024-05-16,voluntary,Career advancement,True,False,Outstanding,129200.0,E13571,pull
E03000,2024-09-22,voluntary,Better opportunity,True,False,High Performer,215700.0,E07945,pull
E03003,2024-07-01,voluntary,Career advancement,True,False,High Performer,125000.0,E02425,pull
E03010,2025-10-24,voluntary,Better opportunity,True,False,Meets Expectations,130500.0,E03706,pull
E03012,2025-02-09,voluntary,Career advancement,True,False,High Performer,119000.0,E05229,pull
E03021,2024-12-14,voluntary,Career advancement,True,False,Meets Expectations,117500.0,E01618,push
E03024,2024-04-13,involuntary,Involuntary - performance,False,False,Unsatisfactory,120300.0,E10171,push
E03025,2025-01-28,voluntary,Career advancement,False,False,Outstanding,142600.0,E00843,pull
E03029,2024-02-02,voluntary,Study/career change,False,False,Meets Expectations,140300.0,E02619,push
E03037,2025-01-31,voluntary,Better opportunity,True,False,High Performer,178800.0,E03782,pull
E03040,2024-10-31,voluntary,Career advancement,True,True,Outstanding,134200.0,E12311,push
E03064,2024-09-13,involuntary,Involuntary - performance,False,False,Unsatisfactory,125600.0,E02701,push
E03071,2024-02-29,involuntary,Involuntary - performance,False,False,Unsatisfactory,123200.0,E00728,push
E03090,2024-12-04,involuntary,Involuntary - restructure,False,False,Meets Expectations,201200.0,E00270,push
E03098,2024-03-29,voluntary,Career advancement,False,False,Below Expectations,165600.0,E10688,pull
E03101,2024-10-11,voluntary,Better opportunity,True,True,High Performer,168400.0,E00587,pull
E03102,2024-09-06,voluntary,Career advancement,True,False,Meets Expectations,118500.0,E01243,push
E03107,2024-06-28,voluntary,Career advancement,True,False,High Performer,116600.0,E01442,push
E03121,2025-02-14,voluntary,Career advancement,True,False,Below Expectations,132200.0,E01878,push
E03128,2024-07-27,voluntary,Career advancement,True,False,Meets Expectations,133100.0,E00744,push
E03133,2024-04-24,voluntary,Career advancement,False,False,Meets Expectations,125800.0,E00728,push
